"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_claypaky_axcor_profile_600_hc_teatro_1","0x2A69","CLAYPAKY","0x4350 ","AXCOR PROFILE 600 HC TEATRO","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_axcor_profile_600_teatro_1","0x2A56","CLAYPAKY","0x4350 ","AXCOR PROFILE 600 TEATRO","1","1","y","y","https://www.claypaky.it/en/home/"
"Oem_claypaky_axcor_profile_900_6k_ln_1","0x2982","CLAYPAKY","0x4350 ","AXCOR PROFILE 900 6K LN","1","1","y","y","www.claypaky.it"
"Oem_claypaky_axcor_profile_900_8k_ln_1","0x2983","CLAYPAKY","0x4350 ","AXCOR PROFILE 900 8K LN","1","1","y","y","www.claypaky.it"
"Oem_claypaky_axcor_spot_400_1","0x2943","CLAYPAKY","0x4350 ","AXCOR SPOT 400","1","1","y","y","http://www.claypaky.it"
"Oem_claypaky_axcor_spot_400_hc_1","0x2942","CLAYPAKY","0x4350 ","AXCOR SPOT 400 HC","1","1","y","y","http://www.claypaky.it"
"Oem_claypaky_axcor_wash_600_1","0x298A","CLAYPAKY","0x4350 ","AXCOR WASH 600","1","1","y","y","www.claypaky.it"
"Oem_claypaky_axcor_wash_600_hc_1","0x2989","CLAYPAKY","0x4350 ","AXCOR WASH 600 HC","1","1","y","y","www.claypaky.it"
"Oem_claypaky_deprecated1_1","0x2C9B","CLAYPAKY","0x4350","Deprecated1","1","1","y","y","www.claypaky.it"
"Oem_claypaky_hy_b_eye_k15_1","0x2985","CLAYPAKY","0x4350 ","HY_B EYE K15","1","1","y","y","www.claypaky.it"
"Oem_claypaky_hy_b_eye_k25_1","0x2984","CLAYPAKY","0x4350 ","HY_B EYE K25","1","1","y","y","www.claypaky.it"
"Oem_claypaky_hy_b_eye_k25_teatro_1","0x2A55","CLAYPAKY","0x4350 ","HY B EYE K25 TEATRO","1","1","y","y","https://www.claypaky.it/en/home/"
"Oem_claypaky_k15_aqua_1","0x2C26","CLAYPAKY","0x4350 ","K15 AQUA","1","1","y","y","www.claypaky.it"
"Oem_claypaky_midib_1","0x2A78","CLAYPAKY","0x4350 ","MIDIB","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_midib_fx_1","0x2C23","CLAYPAKY","0x4350 ","MIDIB FX","1","1","y","y","www.claypaky.it"
"Oem_claypaky_midib_ww_1","0x2B3E","CLAYPAKY","0x4350 ","MIDIB WW","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_mini_b_aqua_1","0x2C28","CLAYPAKY","0x4350 ","MINI B AQUA","1","1","y","y","www.claypaky.it"
"Oem_claypaky_mini_b_aqua_px_1","0x2D10","CLAYPAKY","0x4350","MINI B AQUA PX","1","1","y","y","www.claypaky.it"
"Oem_claypaky_mini_b_sparky_aqua_1","0x2D0F","CLAYPAKY","0x4350","MINI B SPARKY AQUA","1","1","y","y","www.claypaky.it"
"Oem_claypaky_mini_b_spot_1","0x2BE3","CLAYPAKY","0x4350 ","MINI B SPOT","1","1","y","y","www.claypaky.it"
"Oem_claypaky_mini_xtylos_1","0x2B10","CLAYPAKY","0x4350 ","MINI XTYLOS","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_mini_xtylos_hpe_1","0x2B1C","CLAYPAKY","0x4350 ","MINI XTYLOS HPE","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_minib_1","0x2BA2","CLAYPAKY","0x4350 ","MINIB","1","1","y","y","www.claypaky.it"
"Oem_claypaky_minib_parled_aqua_1","0x2A7A","CLAYPAKY","0x4350 ","MINIB PARLED AQUA","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_minib_parled_aqua_ww_1","0x2B3F","CLAYPAKY","0x4350 ","MINIB PARLED AQUA WW","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_minib_ww_1","0x2B40","CLAYPAKY","0x4350 ","MINIB WW","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_panify_1","0x2B3C","CLAYPAKY","0x4350 ","PANIFY","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_panify_2_1","0x2D04","CLAYPAKY","0x4350","PANIFY 2","1","1","y","y","www.claypaky.it"
"Oem_claypaky_reflectxion_1","0x2A33","CLAYPAKY","0x4350 ","REFLECTXION","1","1","y","y","https://www.claypaky.it/"
